_id,signer,manual_verification
6782af7689c6edab0d69af3c,Dmc2LWLxiGjA8Gcq1QW4eX2UJKMpakDmBNKfrbezUrrp,HUMAN
678284f589c6edab0d013595,3FvrBcTbdhjTMuDCnWRrE4PERKkyjMN4eGFMD4duvgNM,BOT
6782c3c089c6edab0d176843,qEHGY4cuSopePEEDJqM7tVqTFSdUdaoKgLHJGGyvoFB,HUMAN
678275db89c6edab0da8b06e,22kr1ywBedk7ywkjeEjrG4JNr24gKnuwfAQQadk4hQYW,HUMAN
67827fd389c6edab0de10e14,2F8q4xzrtCY2gqXMQYLpiC2PFwYqUmVZk2UWkvCmW7aR,BOT
6782835589c6edab0df78f11,2xHaWdRe8F9LaLPjUnPR2j7Bw54fqTPZXLb9R69oKLvV,BOT
6782b25589c6edab0d8439f2,EY5NejV63Usx3hACguHKjAXghrESmEx67UwRLZBf56p,HUMAN
6782b16b89c6edab0d7bb29b,EHpK52wLZnKAEVKtioYRiM8aqVgo4PUXuMNuEF1L78w8,BOT
6782bb1889c6edab0dd28d8f,GoCSDmczW3Krg6W8eGbiW1LUXvD3FyZrbsHcJMfgoZWp,BOT
6782aa6389c6edab0d3c6a89,CTuNddd2bv3mKSppowaX4YEeYEuHmFFRHEFwFNygFiiz,HUMAN
678284dc89c6edab0d00dc41,3FJCuPGmoW5Y4hZStgcnqAPhweccbYmFGnmhG7ikm9BJ,BOT
6782a82a89c6edab0d2941ec,BuqQuw1177qgaj2evZAd4dKRxor6QtXWzFHgxFERLxF4,HUMAN
6782a10289c6edab0de9b377,A5tGBENqBaJPFgXndmxin6ZnKxP6uizferbzJZwLPXUb,HUMAN
67828b4689c6edab0d2cf373,4dpQcCx4eSzPWGP8axVmTaAuUf4QtkSfv72nwuzPTD3G,HUMAN
6782bd4d89c6edab0de63dd2,HNCzkUenFbmhtjga5Vc7Ks2iWuQ7LTfKcm56Jzz8jpFJ,HUMAN
6782a42a89c6edab0d061b47,AuCRiHo53D3TNrVw6roeaUHY1FFzK5TxxRdXDNN2wKCH,HUMAN
678278de89c6edab0dbf38cd,3Jm6kVxYwXBatbz8SEBgRu9fHsTJ9DpaHXPUooWjTZrS,BOT
678279ef89c6edab0dc6ae08,3jBTKrXL6bo6hyCs7AhRRytvC4YYSnwaaVfWkYE73hfr,HUMAN
6782a6ec89c6edab0d1e192c,BbEERUZ28vhoYge1yy5x29679MFBcTga3yN88dLqmi7w,HUMAN
6782bee289c6edab0df4055c,HmG1dvDJiG8XFTrowQj1FBxWkgta4utkEWMFExCxeTMi,HUMAN
678299d089c6edab0da83847,8CTB5msstEmPVQv2SiWeouKirrLwjMjuiqAMeyv8TZjU,HUMAN
6782b19389c6edab0d7d26e0,ELFTemZeHAoSbW6vFkQZPexPBBzNYDYGhJnM3nsrigjh,HUMAN
67829e3889c6edab0dd11215,9NmyWYDE61UfmcpYoFEhjUmdvGUvhSTCzWFCNqSEUwrJ,HUMAN
67827ac489c6edab0dcbbf7b,41oAFquxLY1tgA7n5hwP27jcHoD1vu5GUae7kVYwUG1q,BOT
6782bdb389c6edab0de9a87c,HTvA76cPSqzMfgccoLxfgGuV4mSL6vLSLRDLnVmv1RPC,HUMAN
6782bf8889c6edab0dfa054b,HwJEopnfcG7eeDMW1UfN2vx42NprVg8uvziPFwWaZdyr,BOT
6782a18d89c6edab0deece8c,AENpzMxXY5rPEoA5ZzVi6RducUYWC3cFSAS1p75W3sb2,HUMAN
67828f4089c6edab0d4d579b,5aMUHFDqLQU3cKbk2rTbzLkDLHdKcbx3gMsMdj2Bz69k,HUMAN
6782adf489c6edab0d5c0369,DNjZAvozGy5VsmymB9GKbxe7GzFQ2X8fFs7Qdx9XBUiL,BOT
6782c31289c6edab0d142b8f,k7FVwjGPqCVqw4pgsVBmdnpBxELXF1VAzpZGx9zwHbQ,BOT
678290ba89c6edab0d587fa0,5u3XnT5Ry2L4uRcjn1ESzW7JT3vKHKhJ9jWyKboxnv4d,HUMAN
678286a989c6edab0d0b7a62,3ah6a3QRcKy5Q3yJVkPnwj9H7YWvLNn6aBGoUFjZPnYW,HUMAN
6782a74c89c6edab0d216c25,BgnXTF8pkjUUjmB58Ld7mHE9NQHYXv9ozMp74yoV6bzi,HUMAN
67829f9d89c6edab0ddcdc3d,9iUuB2uNAjgdMHGSm2muUbhcYdqpcVzxSxt1kpQ6vxNo,HUMAN
67829bcd89c6edab0dba692d,8itjJGr24bQ6MvMCimCa7ZZXFKi3DEJRqqdsZdUEwX5z,HUMAN
6782b5ee89c6edab0da499d8,FUDaedQkrpL7s22Wnv29TEzsTpCaY1UrvJuMrRAxqKks,HUMAN
6782ab3d89c6edab0d444c47,Ch8BkiXKzFqz18LVLRqufQ2qAKxuahrtNNnUHsdzxUVR,HUMAN
6782c23c89c6edab0d0e55bb,aK3ExpC5NRyGHgWpnKupyeaKZkgfQKNMdarQPsS3C1S,BOT
678297f689c6edab0d96d137,7hFhmCivULHZorNVGyD78d9h1QTrk8VLWUgLPCQp9ETd,HUMAN
67828f7589c6edab0d4f07b2,5dAbrg5BL6LtWifiZcdr9c8HPyvRHAogfjdaSJ6yAQEY,HUMAN
6782817a89c6edab0debc3b6,2ag9zdtscq9TiRTEUHArVsJmG1LvfuRCNxDAStohY8rD,BOT
678288f889c6edab0d1ab4de,44XYAzxGej15T6toSr3N82cTWtsCX8uvhxVXBucun2jB,HUMAN
6782bec789c6edab0df30990,HjcNJoJobLGF1Rw51rztHmMMcv2UCvEotsahMQhDLYde,HUMAN
67829e5b89c6edab0dd25dcc,9QxfMcUrRY8B2TabqsYfG1GTxw6CxVo1TGwMTSfXZbDD,BOT
67829c3389c6edab0dbe53a1,8qTQFzEX6NnBpJtYkAyaNzrapz7f8MDnuU9P3ahHrHX,HUMAN
67828d5589c6edab0d3e5924,59H3P9SHEgVtDXor6rAQS2afHftU2nbWMidk6ZX872do,HUMAN
67829a8789c6edab0daec8f1,8PU3oJ39TNhbX66brBKXemCR7gQgBQSsJaRudcUFhN6T,HUMAN
67829d7f89c6edab0dca5e9b,9Bc4u2RZUbexq71DRstz5yzKD8ETN4ZU8nx6XS9kwdHT,HUMAN
67829e6089c6edab0dd28aec,9RFKZBjhym48dW9z2HgAAWFAsQTZ4N4bLtpr8vjKsdSg,BOT
6782b26f89c6edab0d852a1d,EZfqsRzAMKet2WNfXcZWZgwSbYgyDfhAEo6JhhZdjuDu,HUMAN
678277ed89c6edab0db95a46,2yUJrNSmY9jYbGkcurMRQNrNii3kJ66ZSCsGgf6xsfj5,HUMAN
6782b0fa89c6edab0d777e26,EAmTajxdXmfikqNDv2GhoVH3yn5R28CK2HYEe6tXgcw7,BOT
67829e6a89c6edab0dd2ed5d,9RtQ9CMuxob6CBZx92F6BgPFH4rvGWQHDWLvsZSeF1VA,HUMAN
67829b4f89c6edab0db60ab2,8bYcFKrSezrkXyZrDpzVhnuTtyGWJ5mtXRDXYTK4W9VU,BOT
