date,week,year,weekday
2023-08-04,31,2023,Friday
2023-08-09,32,2023,Wednesday
2023-08-14,33,2023,Monday
2023-08-24,34,2023,Thursday
2023-09-03,35,2023,Sunday
2023-09-09,36,2023,Saturday
2023-09-12,37,2023,Tuesday
2023-09-20,38,2023,Wednesday
2023-09-28,39,2023,Thursday
2023-10-08,40,2023,Sunday
2023-10-10,41,2023,Tuesday
2023-10-16,42,2023,Monday
2023-10-26,43,2023,Thursday
2023-10-30,44,2023,Monday
2023-11-09,45,2023,Thursday
2023-11-18,46,2023,Saturday
2023-11-20,47,2023,Monday
2023-11-28,48,2023,Tuesday
2023-12-08,49,2023,Friday
2023-12-14,50,2023,Thursday
2023-12-20,51,2023,Wednesday
2023-12-26,52,2023,Tuesday
2024-01-07,53,2024,Sunday
2024-01-08,54,2024,Monday
2024-01-17,55,2024,Wednesday
2024-01-26,56,2024,Friday
2024-02-03,57,2024,Saturday
2024-02-08,58,2024,Thursday
2024-02-17,59,2024,Saturday
2024-02-20,60,2024,Tuesday
2024-03-03,61,2024,Sunday
2024-03-07,62,2024,Thursday
2024-03-15,63,2024,Friday
2024-03-24,64,2024,Sunday
2024-03-30,65,2024,Saturday
2024-04-03,66,2024,Wednesday
2024-04-14,67,2024,Sunday
2024-04-15,68,2024,Monday
2024-04-26,69,2024,Friday
2024-05-01,70,2024,Wednesday
2024-05-06,71,2024,Monday
2024-05-17,72,2024,Friday
2024-05-22,73,2024,Wednesday
2024-05-31,74,2024,Friday
2024-06-08,75,2024,Saturday
2024-06-16,76,2024,Sunday
2024-06-18,77,2024,Tuesday
2024-06-29,78,2024,Saturday
2024-07-02,79,2024,Tuesday
2024-07-14,80,2024,Sunday
2024-07-15,81,2024,Monday
2024-07-27,82,2024,Saturday
2024-07-31,83,2024,Wednesday
