date,week,year,weekday
2023-08-04,31,2023,Friday
2023-08-07,32,2023,Monday
2023-08-17,33,2023,Thursday
2023-08-26,34,2023,Saturday
2023-08-29,35,2023,Tuesday
2023-09-10,36,2023,Sunday
2023-09-13,37,2023,Wednesday
2023-09-23,38,2023,Saturday
2023-09-27,39,2023,Wednesday
2023-10-03,40,2023,Tuesday
2023-10-11,41,2023,Wednesday
2023-10-20,42,2023,Friday
2023-10-27,43,2023,Friday
2023-11-01,44,2023,Wednesday
2023-11-09,45,2023,Thursday
2023-11-16,46,2023,Thursday
2023-11-21,47,2023,Tuesday
2023-11-29,48,2023,Wednesday
2023-12-06,49,2023,Wednesday
2023-12-13,50,2023,Wednesday
2023-12-21,51,2023,Thursday
2023-12-28,52,2023,Thursday
2024-01-01,53,2024,Monday
2024-01-09,54,2024,Tuesday
2024-01-20,55,2024,Saturday
2024-01-26,56,2024,Friday
2024-02-03,57,2024,Saturday
2024-02-11,58,2024,Sunday
2024-02-12,59,2024,Monday
2024-02-20,60,2024,Tuesday
2024-03-03,61,2024,Sunday
2024-03-08,62,2024,Friday
2024-03-11,63,2024,Monday
2024-03-21,64,2024,Thursday
2024-03-29,65,2024,Friday
2024-04-07,66,2024,Sunday
2024-04-11,67,2024,Thursday
2024-04-19,68,2024,Friday
2024-04-28,69,2024,Sunday
2024-05-05,70,2024,Sunday
2024-05-11,71,2024,Saturday
2024-05-18,72,2024,Saturday
2024-05-26,73,2024,Sunday
2024-05-27,74,2024,Monday
2024-06-08,75,2024,Saturday
2024-06-10,76,2024,Monday
2024-06-18,77,2024,Tuesday
2024-06-25,78,2024,Tuesday
2024-07-01,79,2024,Monday
2024-07-14,80,2024,Sunday
2024-07-20,81,2024,Saturday
2024-07-22,82,2024,Monday
2024-07-31,83,2024,Wednesday
