date,week,year,weekday,start_block_id,end_block_id,is_crawled
2023-08-04,31,2023,Friday,209292602,209490448,True
2023-08-09,32,2023,Wednesday,210284393,210480068,True
2023-08-14,33,2023,Monday,211277946,211475863,True
2023-08-24,34,2023,Thursday,213237548,213434020,True
2023-09-03,35,2023,Sunday,215223844,215424809,True
2023-09-09,36,2023,Saturday,216420772,216621746,True
2023-09-12,37,2023,Tuesday,217015589,217212026,True
2023-09-20,38,2023,Wednesday,218594766,218791328,True
2023-09-28,39,2023,Thursday,220192040,220396049,True
2023-10-08,40,2023,Sunday,222231272,222443417,True
2023-10-10,41,2023,Tuesday,222653802,222863737,True
2023-10-16,42,2023,Monday,223918035,224127563,True
2023-10-26,43,2023,Thursday,225986454,226190433,True
2023-10-30,44,2023,Monday,226817613,227025298,True
2023-11-09,45,2023,Thursday,228869564,229069783,True
2023-11-18,46,2023,Saturday,230647722,230852537,True
2023-11-20,47,2023,Monday,231057667,231258556,True
2023-11-28,48,2023,Tuesday,232652038,232848877,True
2023-12-08,49,2023,Friday,234617580,234807969,True
2023-12-14,50,2023,Thursday,235747399,235935877,True
2023-12-20,51,2023,Wednesday,236881084,237070022,True
2023-12-26,52,2023,Tuesday,238029203,238221223,True
2024-01-07,53,2024,Sunday,240296839,240484848,True
2024-01-08,54,2024,Monday,240484755,240678221,True
2024-01-17,55,2024,Wednesday,242254660,242457425,True
2024-01-26,56,2024,Friday,244120318,244326992,True
2024-02-03,57,2024,Saturday,245779087,245980975,True
2024-02-08,58,2024,Thursday,246753869,246963928,True
2024-02-17,59,2024,Saturday,248626574,248832492,True
2024-02-20,60,2024,Tuesday,249238873,249442521,True
2024-03-03,61,2024,Sunday,251711467,251921619,True
2024-03-07,62,2024,Thursday,252555553,252766521,True
2024-03-15,63,2024,Friday,254214897,254416313,True
2024-03-24,64,2024,Sunday,256045044,256245107,True
2024-03-30,65,2024,Saturday,257246259,257440050,True
2024-04-03,66,2024,Wednesday,258023791,258212403,True
2024-04-14,67,2024,Sunday,259983139,260169551,True
2024-04-15,68,2024,Monday,260169529,260355848,True
2024-04-26,69,2024,Friday,262248554,262431134,True
2024-05-01,70,2024,Wednesday,263167939,263355765,True
2024-05-06,71,2024,Monday,264100346,264286714,True
2024-05-17,72,2024,Friday,266214975,266411852,True
2024-05-22,73,2024,Wednesday,267194716,267390267,True
2024-05-31,74,2024,Friday,268932170,269131635,True
2024-06-08,75,2024,Saturday,270512795,270710472,True
2024-06-16,76,2024,Sunday,272084344,272279386,True
2024-06-18,77,2024,Tuesday,272473101,272668137,True
2024-06-29,78,2024,Saturday,274584887,274775003,True
2024-07-02,79,2024,Tuesday,275153712,275342431,True
2024-07-14,80,2024,Sunday,277401250,277589026,True
2024-07-15,81,2024,Monday,277588891,277776639,True
2024-07-27,82,2024,Saturday,279868619,280056738,True
2024-07-31,83,2024,Wednesday,280630181,280826804,True
